Article	Category
How School Choice Turns Education Into a Commodity	Politics
Spicer: Obamas release of White House visitor logs was faux transparency	Politics
White nationalist argues Trump should be liable for inciting violence at campaign rally	Politics
Equipment stolen days before special election; Sec. of State: Unacceptable	Politics
Virginia GOP Candidate: No Incest Exception For Abortion, Because Sometimes Incest Is Voluntary	Politics
Trump claims Ossoff wants illegal immigration. Mostly False.	Politics
The What happened in your state last week? Megathread, Week 16	Politics
GA-06 Special Election Discussion Thread	Politics
Trumps old tweets are quickly becoming a minefield of hypocrisy	Politics
China approved three Ivanka trademarks on same day she met with Chinese president: report	Politics
Blackwater Founder Erik Prince Said to Have Advised Trump Team	Politics
Dem on Trump transparency: If you want privacy, dont go into politics	Politics
Majority Say Wealthy Americans, Corporations Taxed Too Little	Politics
Poll: 61 percent of Texans oppose border wall to stop illegal immigration	Politics
Donald Trumps Chinese Trademarks Now Part of Emoluments Lawsuit	Politics
All in the family: Ivanka Trump won 3 trademarks in China after dining with Chinese President Xi Jinping	Politics
Man caught on video stealing Jon Ossoff campaign signs, local police do nothing.	Politics
Guess Who Came to Dinner With Flynn and Putin	Politics
Emoluments lawsuit could force Trump to cough up his tax returns	Politics
Congress Is A Retirement Home For Old White Men & That Has To Change	Politics
Trump weirdly says Korea was part of China, which is totally wrong and could enrage South Korea	Politics
Trumps supporters have been duped: Working-class Americans, betrayed	Politics
Alabama may lose 1 electoral college vote due to slow growth	Politics
GOP congressman says not my role to denounce hate speech, tells gay couples dont call it marriage.	Politics
The future of the school-to-prison pipeline under Betsy DeVos is bleak	Politics
Science strikes back: anti-Trump march draws thousands to Washington	Politics
Ted Cruz wants to blame Democrats for a government shutdown in 2017	Politics
Trump confuses North Korean leaders on Fox and Friends	Politics
Dems Demand Kushners Clearances Be Revoked	Politics
Donald Trump criticised for congratulating Recep Tayyip Erdogan on winning Turkish referendum	Politics
Aircraft Carrier Wasnt Sailing to Deter North Korea, as U.S. Suggested	Politics
Former CIA director: The Russians feign sincerity better than anyone  I lost faith in their willingness to do the right thing	Politics
Trumps taxes must be released before tax reform: Painter and Eisen	Politics
Heres proof that Trump is ignorant and deluded about crime	Politics
Gerrymandering means Democrats are playing a rigged game  in Georgia and everywhere else	Politics
Report: Paul Manafort Now Advising Chinese Billionaire On Trump Infrastructure Contracts	Politics
Theres something not right here: British spies warned the US about extensive contact between Trump team and Russia	Politics
Trump skewered Hillary Clinton over Benghazi. But he still hasnt appointed an official to oversee diplomatic security.	Politics
Were taxing the poor to pay for the longer lives of the rich	Politics
Why is Trump celebrating Turkeys democratic crisis?	Politics
Five times Rudy Giuliani was caught up with a controversial foreign client	Politics
Report: Fox News Leaning Towards Dumping Bill OReilly	Politics
Elizabeth Warren wants to make your taxes simpler, but tax preparers wont let her	Politics
GOP senator: Trump should spend less time at Mar-a-Lago	Politics
Mexicos Revenge By antagonizing the U.S.s neighbor to the south, Donald Trump has made the classic bullys error: He has underestimated his victim.	Politics
Maryland Victims No Longer Need To Prove They Physically Fought Their Rapist	Politics
Border Wall Could Cost 3 Times Estimates, Senate Democrats Report Says	Politics
Democrat Jon Ossoff has real shot at rebuking Trump in Georgia election upset for congressional seat	Politics
Donald Trump Really Doesnt Want Jon Ossoff In Congress	Politics
For the first time on record, human-caused climate change has rerouted an entire river	Politics
Donald Trump is heading for a do-nothing presidency	Politics
White House Considers Dumping Petition Site	Politics
As Trump Drifts Away From Populism, His Supporters Grow Watchful	Politics
Find out if you live in the 6th district and should vote today	Politics
Trump plans to reward tax cheats	Politics
Trump claims immunity as President in lawsuit	Politics
Poll: Majority says wealth, corporations dont pay enough taxes.	Politics
Smoke pot in Oregon? Your name now protected from feds	Politics
President Trump still hasnt made one consequential deal. Not one.	Politics
Cotton booed for defending Trump on tax returns	Politics
Lawsuit against Trump over foreign payments expands	Politics
Trump companies dont always follow his buy American, hire American pledge	Politics
Nonprofit Working To Block Drug Imports Has Ties To Pharma Lobby	Politics
[Opinion] Gov. Brown gets what President Trump doesnt: Denialism wont stop climate change	Politics
Trumps acting like a lame duck president	Politics
Holocaust survivors son pleads with Sen. Feinstein: We cannot work with these fascists in the White House	Politics
At Kushners Manhattan Tower, Debt Payments and Losses Increase	Politics
Trumps approval falls as gender gap widens	Politics
Steve Ballmer launches USAFacts to track government spending	Politics
Trump Is Making the GOP Heinously Unpopular Again	Politics
Voting machines stolen pre-Georgia special election: report	Politics
Bernie Said Universal Healthcare Plan Angers Big Pharma  Crowd Replied, F*ck Em!	Politics
Poll: Majority of Americans disapprove of President Trump, a near historic low	Politics
Trump to Erdogan: Congrats on dismantling democracy!	Politics
How Trumps Inaction on Climate Change Could Lead to Impeachment	Politics
Nuclear war has become thinkable again  we need a reminder of what it means	Politics
Trump still hasnt released tax returns as of Tax Day	Politics
US intercepts 2 Russian bombers off Alaskas coast	Politics
Sanders vows to radically transform the Democratic Party	Politics
Report: Murdochs leaning toward pulling OReilly off air	Politics
Liberals were right: Racism played a larger role in Trumps win than income and authoritarianism	Politics
Elizabeth Warren: Americans Should Keep Demanding To See Trumps Taxes	Politics
Ivanka Trumps company won valuable China trademarks the day she dined with Chinese President Xi Jinping	Politics
Georgia Special Election A Chance For Democrats To Make A Statement	Politics
Emoluments Challenge To Donald Trumps Ethics Conflicts Gets A Big Boost	Politics
Melania Trump hosted a private Easter Egg Roll exclusively for the rich and powerful	Politics
Calexit campaign dropped as leader bolts for Russia	Politics
Marijuana possession is grounds for deportation, DHS chief says	Politics
Theres no sign Donald Trump can win a campaign for anyone not named Donald Trump	Politics
Blackwater founder Erik Prince has been giving Donald Trump counter-terrorism advice	Politics
Nearly $500,000 of Donald Trumps 2020 campaign funds have gone to Trump restaurants, hotels and golf clubs	Politics
Scientists to take to the streets in global march for truth	Politics
Two plaintiffs join suit against Trump, alleging breach of emoluments clause	Politics
Cotton booed for defending Trump on tax returns	Politics
L.A. responds to Trump travel ban with Everyone is welcome campaign	Politics
The American mercenary behind Blackwater is helping China establish the new Silk Road	Politics
Trump Lost More Of The Asian-American Vote Than The National Exit Polls Showed	Politics
Georgia race could bring Dems first anti-Trump win & hes not taking it well	Politics
Ivanka Trumps Brand Was Cleared for Chinese Trademarks the Same Day She Dined With Chinese President	Politics
Trumps Tax Giveaway To Wall Street Is Shameful	Politics
Trumps history of using foreign workers on his properties	Politics
The leader of Calexit just announced hes abandoning the movement and settling permanently in Russia	Politics
Sean Spicer: Lobbyists Deserve Privacy When Visiting the White House	Politics
Alec Baldwin Gets Under Trumps Skin	Politics
President* Trump Just Placed America in Interesting Company	Politics
Sen. Feinstein booed at town hall for not supporting single-payer	Politics
GA-06 Special Election Discussion Thread	Politics
FBI used dossier allegations to bolster Trump-Russia investigation	Politics
Poll: 61 percent of Texans oppose border wall to stop illegal immigration	Politics
Trump weirdly says Korea was part of China, which is totally wrong and could enrage South Korea	Politics
President Trump still hasnt made one consequential deal. Not one.	Politics
Donald Trumps Chinese Trademarks Now Part of Emoluments Lawsuit	Politics
Emoluments lawsuit could force Trump to cough up his tax returns	Politics
First protected DREAMer is deported under Trump	Politics
FBI used Trump dossier to help get warrant to monitor ex-aide: report	Politics
GOP senator: Trump should spend less time at Mar-a-Lago	Politics
Trumps old tweets are quickly becoming a minefield of hypocrisy	Politics
A month after dismissing federal prosecutors, Justice Department does not have any U.S. attorneys in place	Politics
The Continuing Fallout from Trump and Nuness Fake Scandal	Politics
Majority Say Wealthy Americans, Corporations Taxed Too Little	Politics
Dem on Trump transparency: If you want privacy, dont go into politics	Politics
China approved three Ivanka trademarks on same day she met with Chinese president: report	Politics
Blackwater Founder Erik Prince Said to Have Advised Trump Team	Politics
Congress Is A Retirement Home For Old White Men & That Has To Change	Politics
All in the family: Ivanka Trump won 3 trademarks in China after dining with Chinese President Xi Jinping	Politics
White House Refuses to Promise Insurers That It Wont Sabotage Obamacare	Politics
Miami state senator curses at black lawmaker  and refers to fellow Republicans as niggas	Politics
Aircraft Carrier Wasnt Sailing to Deter North Korea, as U.S. Suggested	Politics
Guess Who Came to Dinner With Flynn and Putin	Politics
Alabama may lose 1 electoral college vote due to slow growth	Politics
Border Wall Could Cost 3 Times Estimates, Senate Democrats Report Says	Politics
Clinton: That was my last race	Politics
California Assembly Committee Passes Bill to Ban Resources for Federal Marijuana Enforcement	Politics
Donald Trump criticised for congratulating Recep Tayyip Erdogan on winning Turkish referendum	Politics
Bill OReilly likely out at Fox News	Politics
Republicans grow concerned about Mar-a-Lago: Trump should spend more time in Washington	Politics
Under Trump, Trade Deficits Are Up, Interest Rates Have Doubled, and Car Sales are Plummeting	Politics
Report: Murdochs leaning toward pulling OReilly off air	Politics
GOP congressman says not my role to denounce hate speech, tells gay couples dont call it marriage.	Politics
Trump confuses North Korean leaders on Fox and Friends	Politics
Report: Paul Manafort Now Advising Chinese Billionaire On Trump Infrastructure Contracts	Politics
Dems Demand Kushners Clearances Be Revoked	Politics
Docs want single-payer and so should you	Politics
Gerrymandering means Democrats are playing a rigged game  in Georgia and everywhere else	Politics
Ted Cruz wants to blame Democrats for a government shutdown in 2017	Politics
The future of the school-to-prison pipeline under Betsy DeVos is bleak	Politics
Who Among Us Has Not Misplaced an Aircraft Carrier?	Politics
Betsy DeVos Is Wasting No Time Screwing Over Students Who Borrow Money for College	Politics
Trumps supporters have been duped: Working-class Americans, betrayed	Politics
Science strikes back: anti-Trump march draws thousands to Washington	Politics
Trump skewered Hillary Clinton over Benghazi. But he still hasnt appointed an official to oversee diplomatic security.	Politics
How Did the Trump Administration Lose an Aircraft Carrier?	Politics
Elizabeth Warren wants to make your taxes simpler, but tax preparers wont let her	Politics
Former CIA director: The Russians feign sincerity better than anyone  I lost faith in their willingness to do the right thing	Politics
GOP Senator: I Do Wish Trump Would Host State Visits In DC, Not Mar-A-Lago	Politics
Heres proof that Trump is ignorant and deluded about crime	Politics
Democrat Jon Ossoff has real shot at rebuking Trump in Georgia election upset for congressional seat	Politics
Why is Trump celebrating Turkeys democratic crisis?	Politics
Official: White House, Pentagon miscommunicated on aircraft carriers location	Politics
Maryland Victims No Longer Need To Prove They Physically Fought Their Rapist	Politics
Trump Has Deep Links to Organized Crime: Federal Investigators Know It and the Public Is Catching Up	Politics
Poll: Bernie Sanders countrys most popular active politician	Politics
Trump plans to reward tax cheats	Politics
Trumps taxes must be released before tax reform: Painter and Eisen	Politics
Steve King toasts Dreamer deportation with beer tweet	Politics
Holocaust survivors son pleads with Sen. Feinstein: We cannot work with these fascists in the White House	Politics
Five times Rudy Giuliani was caught up with a controversial foreign client	Politics
Fake news is being cited by pupils as fact in their studies, warn teachers	Politics
Trump to Erdogan: Congrats on dismantling democracy!	Politics
Theres a plan in Congress to start charging troops for their GI Bill benefits	Politics
Report: First protected Dreamer deported under Trump	Politics
Trump touted armada he was sending to North Korea while it was sailing in opposite direction	Politics
Poll: More than 6 in 10 Texans oppose border wall	Politics
Trump loses track of US fleet at sea	Politics
D.C. public schools were not invited to mostly white White House Easter Egg Roll.	Politics
For the first time on record, human-caused climate change has rerouted an entire river	Politics
Miami state senator curses at black lawmaker  and refers to fellow Republicans as niggas	Politics
Were taxing the poor to pay for the longer lives of the rich	Politics
Donald Trump is heading for a do-nothing presidency	Politics
Homeland Sec. Kelly: Marijuana is a Dangerous Gateway Drug	Politics
Alec Baldwin Gets Under Trumps Skin	Politics
Theres something not right here: British spies warned the US about extensive contact between Trump team and Russia	Politics
White House Considers Dumping Petition Site	Politics
Donald Trump Really Doesnt Want Jon Ossoff In Congress	Politics
Find out if you live in the 6th district and should vote today	Politics
That Armada Heading To North Korea? Actually, It Sailed South	Politics
Nuclear war has become thinkable again  we need a reminder of what it means	Politics
Mexicos Revenge By antagonizing the U.S.s neighbor to the south, Donald Trump has made the classic bullys error: He has underestimated his victim.	Politics
Homeland Security Secretary Says Trump Critics Need to Shut Up	Politics
This brutal new poll shows that fewer and fewer people believe Trumps lies	Politics
Source: Fox News and Bill OReilly are talking exit	Politics
Donald Trump Has a Conflict of Interest in Turkey. Just Ask Donald Trump.	Politics
Trump companies dont always follow his buy American, hire American pledge	Politics
Elizabeth Warren: Americans Should Keep Demanding To See Trumps Taxes	Politics
Trump still hasnt released tax returns as of Tax Day	Politics
The growing appeal of Medicare for all	Politics
Bernie Said Universal Healthcare Plan Angers Big Pharma  Crowd Replied, F*ck Em!	Politics
On Russia, Trump and his top national security aides seem to be at odds	Politics
 Trump to Erdogan: Congrats On Your Dictatorship!	Politics
The Options for Impeaching Trump	Politics
Poll: Majority says wealth, corporations dont pay enough taxes.	Politics
Democrat leads early returns in Georgia congressional race	Politics
Trumps acting like a lame duck president	Politics
Smoke pot in Oregon? Your name now protected from feds	Politics
Trump blames Obama without proof for formation of MS-13 crime gang	Politics
Lawsuit against Trump over foreign payments expands	Politics
GA-06 Special Election Discussion Thread	Politics
After using n-word in front of black colleagues, Fla. state senator faces calls to resign	Politics
Devin Nunes worked with Trump administration to create a fake scandal about Susan Rice: report	Politics
US President Donald Trump under fire for being the golfer-in-chief	Politics
GOP senator calls on Trump to release his tax returns	Politics
A month after sacking all Obama federal prosecutors, Trump has hired zero replacements	Politics
DNC Chair Slams Trumps Buy American Order: Start With Your Own Damn Businesses	Politics
FBI used dossier allegations to bolster Trump-Russia investigation	Politics
A month after dismissing federal prosecutors, Justice Department does not have any U.S. attorneys in place	Politics
Trump Has Deep Links to Organized Crime: Federal Investigators Know It and the Public Is Catching Up	Politics
Georgia Has a Message for Republicans: Be Worried	Politics
Rigged against Ossoff: Georgia lawmaker admits Republicans have drawn district lines to stop him	Politics
Trumps Tax Secrecy Will Haunt Republicans in 2018	Politics
New election analysis: Yes, it really was blatant racism that gave us President Donald Trump	Politics
President Trump still hasnt made one consequential deal. Not one.	Politics
Georgia special election: Jon Ossoff eyes runoff after narrowly missing outright win	Politics
GOP rep urges Trump to release taxes	Politics
Docs want single-payer and so should you	Politics
Trump weirdly says Korea was part of China, which is totally wrong and could enrage South Korea	Politics
FBI used Trump dossier to help get warrant to monitor ex-aide: report	Politics
Miami state senator curses at black lawmaker  and refers to fellow Republicans as niggas	Politics
California Assembly Committee Passes Bill to Ban Resources for Federal Marijuana Enforcement	Politics
First protected DREAMer is deported under Trump	Politics
Dirty Dossier helped the FBI obtain a surveillance warrant for former Trump adviser Carter Page	Politics
Poll: 61 percent of Texans oppose border wall to stop illegal immigration	Politics
Michael Moore: Trump voters will get buyers remorse	Politics
Pence: Misstatements about U.S. aircraft carrier location not intentional	Politics
Emoluments lawsuit could force Trump to cough up his tax returns	Politics
Donald Trumps Chinese Trademarks Now Part of Emoluments Lawsuit	Politics
The Continuing Fallout from Trump and Nuness Fake Scandal	Politics
GOP senator: Trump should spend less time at Mar-a-Lago	Politics
Officers rue the return of US war on drugs	Politics
Net neutrality: Americas libraries stand for freedom and fairness	Politics
White House Refuses to Promise Insurers That It Wont Sabotage Obamacare	Politics
Republicans grow concerned about Mar-a-Lago: Trump should spend more time in Washington	Politics
How much do we know about Blackwater founder Erik Prince  and his secretive role in shaping Trumps foreign policy?	Politics
Bill OReilly likely out at Fox News	Politics
Georgia Didnt Affirm Trump	Politics
Moya-Smith: Fox News Pundit Repulsively Compares Native Americans to ISIS	Politics
Fla. senator calls fellow GOPers n----rs, slurs black colleague	Politics
A month after firing all U.S. attorneys, no new ones in place at Justice Department	Politics
Trumps old tweets are quickly becoming a minefield of hypocrisy	Politics
Trump administration says Iran complying with nuclear deal	Politics
Clinton: That was my last race	Politics
Majority Say Wealthy Americans, Corporations Taxed Too Little	Politics
Trump business practices clash with executive order targeting foreign workers	Politics
Dem on Trump transparency: If you want privacy, dont go into politics	Politics
Poll: Bernie Sanders countrys most popular active politician	Politics
Congress Is A Retirement Home For Old White Men & That Has To Change	Politics
Blackwater Founder Erik Prince Said to Have Advised Trump Team	Politics
China approved three Ivanka trademarks on same day she met with Chinese president: report	Politics
Political favor backfiring on newly appointed Alabama senator	Politics
Ossoff leads in Georgia special election	Politics
Miami state senator curses at black lawmaker  and refers to fellow Republicans as niggas	Politics
Coal Museum Sees the Future; Trump Doesnt	Politics
Outspent 7:1, Democrats Pull Major Upset Victory in PW County	Politics
Trump administration certifies Iran is complying with the nuclear deal Trump once called the worst deal ever negotiated	Politics
Betsy DeVos Is Wasting No Time Screwing Over Students Who Borrow Money for College	Politics
Border Wall Could Cost 3 Times Estimates, Senate Democrats Report Says	Politics
Lawsuit Accuses Alt-Right Leader of Terror Campaign Against a Jewish Woman	Politics
Source: Fox News and Bill OReilly are talking exit	Politics
All male committee ensures rapists still have rights to see their victims children	Politics
Report: Murdochs leaning toward pulling OReilly off air	Politics
Aircraft Carrier Wasnt Sailing to Deter North Korea, as U.S. Suggested	Politics
Opinion: Donald Trump has just double-crossed the American working class	Politics
All in the family: Ivanka Trump won 3 trademarks in China after dining with Chinese President Xi Jinping	Politics
Trump touted armada he was sending to North Korea while it was sailing in opposite direction	Politics
Alabama may lose 1 electoral college vote due to slow growth	Politics
Donald Trump criticised for congratulating Recep Tayyip Erdogan on winning Turkish referendum	Politics
The Special Election in Georgia Is Heading to a Runoff	Politics
Guess Who Came to Dinner With Flynn and Putin	Politics
The Options for Impeaching Trump	Politics
Sanders urges Democrats to reach out to Trump supporters	Politics
Who Among Us Has Not Misplaced an Aircraft Carrier?	Politics
Republicans believe only corporations need a tax cut and everything else just complicates that goal.	Politics
How Did the Trump Administration Lose an Aircraft Carrier?	Politics
Steve King toasts Dreamer deportation with beer tweet	Politics
Report: Paul Manafort Now Advising Chinese Billionaire On Trump Infrastructure Contracts	Politics
GOP congressman says not my role to denounce hate speech, tells gay couples dont call it marriage.	Politics
A blue wave begins? Republicans may be in trouble in Kansas, Montana and Georgia elections	Politics
Scott Pruitts New Plan for the EPA Will Destroy Towns Like This One	Politics
Democrat Narrowly Misses Outright Win in Georgia House Race	Politics
Trump confuses North Korean leaders on Fox and Friends	Politics
Universal Basic Income: The Way to Fix Welfare	Politics
Dems Demand Kushners Clearances Be Revoked	Politics
Could Trumps Financial Ties Have Influenced His Phone Call With Erdogan?	Politics
Gerrymandering means Democrats are playing a rigged game  in Georgia and everywhere else	Politics
How Trumps First 100 Days Could End in a Government Shutdown	Politics
Watchdog group to sue for Trump Tower wiretap records	Politics
Official: White House, Pentagon miscommunicated on aircraft carriers location	Politics
Woman told ex-husband on his deathbed that Trump was impeached, so he could die happy	Politics
Oversight Dem blasts Trump family disclosures, wants Prince to testify	Politics
Florida senator used racial slurs to colleagues	Politics
In business dealings, Donald Trump has ignored Buy American ethos	Politics
Polls show Trump exhausts supporters and swing voters	Politics
Republicans face voter anger over Trump and his taxes	Politics
Trump falsely claims Obama policies to blame for growth of MS-13 gang in the U.S.	Politics
GOP Senator: I Do Wish Trump Would Host State Visits In DC, Not Mar-A-Lago	Politics
Ted Cruz wants to blame Democrats for a government shutdown in 2017	Politics
The future of the school-to-prison pipeline under Betsy DeVos is bleak	Politics
AMA With Ben Shapiro - The Daily Wires Ben Shapiro answers all your questions and solves your life problems in the process.	Politics
Utah Congressman Jason Chaffetz Will Not Seek Re-Election, Per Sources	Politics
Poll shows Texas Dem Castro leading Cruz	Politics
We just got a huge sign that the US intelligence community believes the Trump dossier is legitimate	Politics
After using n-word in front of black colleagues, Fla. state senator faces calls to resign	Politics
Donald Trump forgets Paul Ryans name and calls him Ron twice	Politics
Report: WH Directed Intel Agencies To Find Cover For Trumps Wiretap Claims	Politics
Montana will spend $750,000 to avoid making it easier for Democrats to vote	Politics
The Susan Rice Scandal Is Based on Absolutely Nothing	Politics
Exxon Seeks U.S. Waiver to Work in Russia Despite Sanctions	Politics
Fake story wrong about Malia Obama being expelled from Harvard for marijuana use	Politics
White House tries backpedaling from Trumps Turkey blunder	Politics
US President Donald Trump under fire for being the golfer-in-chief	Politics
Paul Manafort Has Not Registered as a Foreign Agent	Politics
Georgia state senator lets it slip: GOP gerrymandered Ossoffs district to disenfranchise Black voters	Politics
Exxon asks Trump administration for waiver from Russia sanctions	Politics
Trumps Tax Secrecy Will Haunt Republicans in 2018	Politics
Ex-Bush WH ethics lawyer on Chaffetz: If you cant do a job right, quit	Politics
Jason Chaffetz, Powerful House Republican, Wont Run in 2018	Politics
New election analysis: Yes, it really was blatant racism that gave us President Donald Trump	Politics
Sean Spicer cant name a single legislative accomplishment for Trumps first 100 days	Politics
Georgia special election: Jon Ossoff eyes runoff after narrowly missing outright win	Politics
Pence: Misstatements about U.S. aircraft carrier location not intentional	Politics
Opinion: Donald Trump has just double-crossed the American working class	Politics
Dirty Dossier helped the FBI obtain a surveillance warrant for former Trump adviser Carter Page	Politics
Trump Administration Grudgingly Confirms Irans Compliance With Nuclear Deal	Politics
Exxon Mobil has reportedly applied for a waiver to work in Russia	Politics
DNC Chair Slams Trumps Buy American Order: Start With Your Own Damn Businesses	Politics
Devin Nunes worked with Trump administration to create a fake scandal about Susan Rice: report	Politics
Report: White House Scrambled To Justify Trumps Accusation Of Wiretapping	Politics
Michael Moore: Trump voters will get buyers remorse	Politics
Poll: Trump approval rating underwater in Texas	Politics
Exxon seeks waiver from U.S. sanctions on Russia: WSJ	Politics
All male committee ensures rapists still have rights to see their victims children	Politics
Chaffetz wont run for reelection in 2018	Politics
President Trump Said in 2015 That He Has a Little Conflict of Interest in Turkey	Politics
Officers rue the return of US war on drugs	Politics
GOP rep urges Trump to release taxes	Politics
Todd Ricketts, Trumps deputy commerce secretary pick, withdraws from consideration	Politics
Another GOP Senator Says Donald Trump Should Release His Tax Returns	Politics
Trumps ethical squalor is worse than you thought	Politics
Rigged against Ossoff: Georgia lawmaker admits Republicans have drawn district lines to stop him	Politics
Tom Brady and Six Others Will Skip Patriots White House Visit Today	Politics
Sheldon Adelson Gave $5 Million for Trumps Inauguration	Politics
Sen. Elizabeth Warrens Call To Action: This Fight Will Take Everybody	Politics
Trumps Syria strike clearly broke international law  and no one seems to care	Politics
A month after dismissing federal prosecutors, Justice Department does not have any U.S. attorneys in place	Politics
The US economy has become disappointing since Donald Trump was elected president	Politics
Trump Has Deep Links to Organized Crime: Federal Investigators Know It and the Public Is Catching Up	Politics
Jason Chaffetzs Abrupt Exit	Politics
FBI used dossier allegations to bolster Trump-Russia investigation	Politics
Bernie Sanders Popularity Continues to Soar while Steve Bannon is Americas Least Popular Political Figure	Politics
Georgia Didnt Affirm Trump	Politics
How much do we know about Blackwater founder Erik Prince  and his secretive role in shaping Trumps foreign policy?	Politics
FBI used dossier allegations to bolster Trump-Russia investigation	Politics
Fla. senator calls fellow GOPers n----rs, slurs black colleague	Politics
Net neutrality: Americas libraries stand for freedom and fairness	Politics
Republican ethics chairman refusing to investigate Trump says he will not seek re-election	Politics
Trump business practices clash with executive order targeting foreign workers	Politics
GOP Sen. Susan Collins: Deporting DREAMer contradicts Trumps own policy	Politics
A lesbian couple got their marriage license  after a county clerk called them an abomination	Politics
Trumps Buy American, Hire American Executive Order Means You Shouldnt Buy His Products	Politics
Adam Schiff warns Trump will probably face serious crisis with North Korea in first term	Politics
Watchdog group to sue for Trump Tower wiretap records	Politics
Trump Job Approval - Disapprove 56%, Approve 40% (Quinnipiac 4/12-4/18)	Politics
New report reveals FBI has independently corroborated info in dossier on Trumps Russia connections	Politics
Trump Distorts Ossoffs Record	Politics
Colorado Must Return Fines To Exonerated Defendants, Supreme Court Rules	Politics
Sean Spicer Insists The White House Didnt Mislead Anyone About Location Of U.S. Ships	Politics
As Mar-a-Lago Prepares to Close for the Season, Trump Lines Up a New Getaway	Politics
Pence: The United States is not seeking negotiations with North Korea	Politics
DHS head John Kelly gave a clear signal that the Trump administration is heading for a marijuana crackdown	Politics
President Trump still hasnt made one consequential deal. Not one.	Politics
Spicer grilled on USS Carl Vinson confusion	Politics
Trumps approval rating still underwater, polls show	Politics
Docs want single-payer and so should you	Politics
Trumps base turns on him	Politics
House Oversight Chairman Jason Chaffetz wont seek reelection	Politics
Trumps Climate Change Policy is Strongly Opposed by Americans, Poll Shows	Politics
After years of Trump railing against the Iran deal, his administration concedes its working	Politics
Currency Traders Spot Fatal Flaw in Republicans Border Tax Plan	Politics
Larry Fink: Warning Signs Are Getting Darker for the U.S. Economy	Politics
California Assembly Committee Passes Bill to Ban Resources for Federal Marijuana Enforcement	Politics
Miami state senator curses at black lawmaker  and refers to fellow Republicans as niggas	Politics
Coal Museum Sees the Future; Trump Doesnt	Politics
FBI used Trump dossier to help get warrant to monitor ex-aide: report	Politics
Trump weirdly says Korea was part of China, which is totally wrong and could enrage South Korea	Politics
Why the GOP shouldnt be celebrating a runoff in Georgias 6th District	Politics
A month after firing all U.S. attorneys, no new ones in place at Justice Department	Politics
First DREAMer Deported to Mexico Under Trump Files Lawsuit	Politics
First protected DREAMer is deported under Trump	Politics
Not a single US attorney position has been filled since Sessions and Trump cleaned house last month	Politics
Report: WH Directed Intel Agencies To Find Cover For Trumps Wiretap Claims	Politics
While Trump trumpets coal, Europe is phasing it out faster than ever	Politics
Tom Brady will not visit Donald Trump and White House with rest of Patriots	Politics
Poll: 61 percent of Texans oppose border wall to stop illegal immigration	Politics
Fox Is Reportedly Preparing for Bill OReillys Exit	Politics
Iowa Senate passes medical marijuana bill, now goes to House	Politics
Democrat Defeats Republican In Virginia Court Clerk Race	Politics
Chicago Cubs co-owner wont join Trump Cabinet: report	Politics
